정산일자,총 매출금액,총 주문건수,파일명
23-04-16,1475300,51,[2023-04] 월간 정산.xlsx
23-04-17,0,0,[2023-04] 월간 정산.xlsx
23-04-18,1104800,39,[2023-04] 월간 정산.xlsx
23-04-19,1360900,40,[2023-04] 월간 정산.xlsx
23-04-20,571100,19,[2023-04] 월간 정산.xlsx
23-04-21,1258700,37,[2023-04] 월간 정산.xlsx
23-04-22,1760800,62,[2023-04] 월간 정산.xlsx
23-04-23,1276700,45,[2023-04] 월간 정산.xlsx
23-04-24,0,0,[2023-04] 월간 정산.xlsx
23-04-25,1687700,57,[2023-04] 월간 정산.xlsx
23-04-26,1206200,34,[2023-04] 월간 정산.xlsx
23-04-27,1129600,35,[2023-04] 월간 정산.xlsx
23-04-28,1280400,38,[2023-04] 월간 정산.xlsx
23-04-29,1555100,52,[2023-04] 월간 정산.xlsx
23-04-30,1790900,58,[2023-04] 월간 정산.xlsx
합계,33310500,1055,[2023-04] 월간 정산.xlsx
23-05-01,0,0,[2023-05] 월간 정산.xlsx
23-05-02,1727200,36,[2023-05] 월간 정산.xlsx
23-05-03,1487700,32,[2023-05] 월간 정산.xlsx
23-05-04,1426100,48,[2023-05] 월간 정산.xlsx
23-05-05,2189700,71,[2023-05] 월간 정산.xlsx
23-05-06,1394300,46,[2023-05] 월간 정산.xlsx
23-05-07,1500400,50,[2023-05] 월간 정산.xlsx
23-05-08,0,0,[2023-05] 월간 정산.xlsx
23-05-09,1171700,37,[2023-05] 월간 정산.xlsx
23-05-10,693600,25,[2023-05] 월간 정산.xlsx
23-05-11,1269400,21,[2023-05] 월간 정산.xlsx
23-05-12,1260000,44,[2023-05] 월간 정산.xlsx
23-05-13,1502700,52,[2023-05] 월간 정산.xlsx
23-05-14,1632100,52,[2023-05] 월간 정산.xlsx
23-05-15,0,0,[2023-05] 월간 정산.xlsx
23-05-16,1316800,32,[2023-05] 월간 정산.xlsx
23-05-17,996200,28,[2023-05] 월간 정산.xlsx
23-05-18,1066200,35,[2023-05] 월간 정산.xlsx
23-05-19,1354300,33,[2023-05] 월간 정산.xlsx
23-05-20,1078000,38,[2023-05] 월간 정산.xlsx
23-05-21,1963800,66,[2023-05] 월간 정산.xlsx
23-05-22,0,0,[2023-05] 월간 정산.xlsx
23-05-23,1059300,35,[2023-05] 월간 정산.xlsx
23-05-24,705300,24,[2023-05] 월간 정산.xlsx
23-05-25,1079100,35,[2023-05] 월간 정산.xlsx
23-05-26,619100,20,[2023-05] 월간 정산.xlsx
23-05-27,1192500,42,[2023-05] 월간 정산.xlsx
23-05-28,1242200,43,[2023-05] 월간 정산.xlsx
23-05-29,0,0,[2023-05] 월간 정산.xlsx
23-05-30,1607000,41,[2023-05] 월간 정산.xlsx
23-05-31,1062900,25,[2023-05] 월간 정산.xlsx
합계,33597600,1011,[2023-05] 월간 정산.xlsx
23-06-01,1271000,32,[2023-06] 월간 정산.xlsx
23-06-02,1268500,33,[2023-06] 월간 정산.xlsx
23-06-03,1427200,43,[2023-06] 월간 정산.xlsx
23-06-04,1654300,57,[2023-06] 월간 정산.xlsx
23-06-05,0,0,[2023-06] 월간 정산.xlsx
23-06-06,1004500,36,[2023-06] 월간 정산.xlsx
23-06-07,717300,24,[2023-06] 월간 정산.xlsx
23-06-08,1275100,36,[2023-06] 월간 정산.xlsx
23-06-09,1049500,36,[2023-06] 월간 정산.xlsx
23-06-10,1780000,32,[2023-06] 월간 정산.xlsx
23-06-11,1750900,55,[2023-06] 월간 정산.xlsx
23-06-12,0,0,[2023-06] 월간 정산.xlsx
23-06-13,1204000,43,[2023-06] 월간 정산.xlsx
23-06-14,1135200,34,[2023-06] 월간 정산.xlsx
23-06-15,971200,34,[2023-06] 월간 정산.xlsx
23-06-16,1106100,38,[2023-06] 월간 정산.xlsx
23-06-17,1169500,37,[2023-06] 월간 정산.xlsx
23-06-18,1570600,54,[2023-06] 월간 정산.xlsx
23-06-19,0,0,[2023-06] 월간 정산.xlsx
23-06-20,1056600,35,[2023-06] 월간 정산.xlsx
23-06-21,831600,26,[2023-06] 월간 정산.xlsx
23-06-22,1058000,33,[2023-06] 월간 정산.xlsx
23-06-23,778400,27,[2023-06] 월간 정산.xlsx
23-06-24,1255400,45,[2023-06] 월간 정산.xlsx
23-06-25,1240700,44,[2023-06] 월간 정산.xlsx
23-06-26,0,0,[2023-06] 월간 정산.xlsx
23-06-27,905900,27,[2023-06] 월간 정산.xlsx
23-06-28,649900,24,[2023-06] 월간 정산.xlsx
23-06-29,790700,27,[2023-06] 월간 정산.xlsx
23-06-30,938700,29,[2023-06] 월간 정산.xlsx
합계,29860800,941,[2023-06] 월간 정산.xlsx
23-07-01,1039800,37,[2023-07] 월간 정산.xlsx
23-07-02,1600700,52,[2023-07] 월간 정산.xlsx
23-07-03,0,0,[2023-07] 월간 정산.xlsx
23-07-04,1359100,46,[2023-07] 월간 정산.xlsx
23-07-05,678600,23,[2023-07] 월간 정산.xlsx
23-07-06,856600,29,[2023-07] 월간 정산.xlsx
23-07-07,986800,31,[2023-07] 월간 정산.xlsx
23-07-08,1035700,33,[2023-07] 월간 정산.xlsx
23-07-09,1673800,54,[2023-07] 월간 정산.xlsx
23-07-10,0,0,[2023-07] 월간 정산.xlsx
23-07-11,1412100,48,[2023-07] 월간 정산.xlsx
23-07-12,0,0,[2023-07] 월간 정산.xlsx
23-07-13,434400,15,[2023-07] 월간 정산.xlsx
23-07-14,893300,24,[2023-07] 월간 정산.xlsx
23-07-15,1391600,46,[2023-07] 월간 정산.xlsx
23-07-16,1633300,58,[2023-07] 월간 정산.xlsx
23-07-17,0,0,[2023-07] 월간 정산.xlsx
23-07-18,608800,21,[2023-07] 월간 정산.xlsx
23-07-19,717600,18,[2023-07] 월간 정산.xlsx
23-07-20,102600,2,[2023-07] 월간 정산.xlsx
23-07-21,1145200,29,[2023-07] 월간 정산.xlsx
23-07-22,945800,32,[2023-07] 월간 정산.xlsx
23-07-23,1097000,36,[2023-07] 월간 정산.xlsx
23-07-24,0,0,[2023-07] 월간 정산.xlsx
23-07-25,0,0,[2023-07] 월간 정산.xlsx
23-07-26,0,0,[2023-07] 월간 정산.xlsx
23-07-27,0,0,[2023-07] 월간 정산.xlsx
23-07-28,0,0,[2023-07] 월간 정산.xlsx
23-07-29,0,0,[2023-07] 월간 정산.xlsx
